cell,cycle,q_dis,n_raw_narrow,w_narrow_4_dur,w_narrow_8_dur,w_narrow_16_dur,w_narrow_32_dur,n_raw_medium,w_medium_4_dur,w_medium_8_dur,w_medium_16_dur,w_medium_32_dur,n_raw_wide,w_wide_4_dur,w_wide_8_dur,w_wide_16_dur,w_wide_32_dur,soh
CS2_35,1,1.138460075392183,348,3475.228393282103,3475.228393282103,3475.228393282103,3475.228393282103,547,5468.248444862581,5468.248444862581,5468.248444862581,5468.248444862581,615,6149.285451101978,6149.285451101978,6149.285451101978,6149.285451101978,1.0089762531616175
CS2_35,2,1.128559536014668,105,3121.5634598881056,3121.5634598881056,3121.5634598881056,3121.5634598881056,172,5132.5653836970605,5132.5653836970605,5132.5653836970605,5132.5653836970605,204,6093.051325738765,6093.051325738765,6093.051325738765,6093.051325738765,1.0002017608967368
CS2_35,3,1.128331882762185,100,2971.5033641822693,2971.5033641822693,2971.5033641822693,2971.5033641822693,171,5102.58137990376,5102.58137990376,5102.58137990376,5102.58137990376,204,6093.082293194192,6093.082293194192,6093.082293194192,6093.082293194192,1.0
CS2_35,4,1.127924190617803,102,3031.5330137245905,3031.5330137245905,3031.5330137245905,3031.5330137245905,171,5102.564813460085,5102.564813460085,5102.564813460085,5102.564813460085,204,6093.065804078241,6093.065804078241,6093.065804078241,6093.065804078241,0.9996386771032437
CS2_35,5,1.1221805257538309,92,2731.3656738394147,2731.3656738394147,2731.3656738394147,2731.3656738394147,164,4892.458198557557,4892.458198557557,4892.458198557557,4892.458198557557,201,6003.019998153473,6003.019998153473,6003.019998153473,6003.019998153473,0.9945482733384299
CS2_35,6,1.120196534445049,88,2611.325899802203,2611.325899802203,2611.325899802203,2611.325899802203,163,4862.468386523338,4862.468386523338,4862.468386523338,4862.468386523338,202,6033.062573815892,6033.062573815892,6033.062573815892,6033.062573815892,0.9927899331380936
CS2_35,7,1.1140515099605253,87,2581.2965094716856,2581.2965094716856,2581.2965094716856,2581.2965094716856,162,4832.425075006955,4832.425075006955,4832.425075006955,4832.425075006955,201,6003.020053275854,6003.020053275854,6003.020053275854,6003.020053275854,0.9873438187648291
CS2_35,8,1.1018670215235868,90,2671.3515009797484,2671.3515009797484,2671.3515009797484,2671.3515009797484,161,4802.43008336355,4802.43008336355,4802.43008336355,4802.43008336355,198,5912.992209222597,5912.992209222597,5912.992209222597,5912.992209222597,0.976545144524489
CS2_35,9,1.0968900192215791,90,2671.3353616856766,2671.3353616856766,2671.3353616856766,2671.3353616856766,161,4802.397468592491,4802.397468592491,4802.397468592491,4802.397468592491,197,5882.928524890871,5882.928524890871,5882.928524890871,5882.928524890871,0.9721342062375872
CS2_35,10,1.0934591701079714,89,2641.335595763303,2641.335595763303,2641.335595763303,2641.335595763303,160,4772.412880984135,4772.412880984135,4772.412880984135,4772.412880984135,197,5882.974903144757,5882.974903144757,5882.974903144757,5882.974903144757,0.9690935679590615
CS2_35,11,1.0889745712860597,89,2641.3200833114824,2641.3200833114824,2641.3200833114824,2641.3200833114824,160,4772.397821802035,4772.397821802035,4772.397821802035,4772.397821802035,196,5852.944186568828,5852.944186568828,5852.944186568828,5852.944186568828,0.9651190291815758
CS2_35,12,1.0951266725508546,90,2671.3507689302933,2671.3507689302933,2671.3507689302933,2671.3507689302933,160,4772.381542884963,4772.381542884963,4772.381542884963,4772.381542884963,196,5852.9280717507645,5852.9280717507645,5852.9280717507645,5852.9280717507645,0.9705714154508838
CS2_35,13,1.096629623838849,86,2551.2951172410394,2551.2951172410394,2551.2951172410394,2551.2951172410394,160,4772.422565987115,4772.422565987115,4772.422565987115,4772.422565987115,197,5882.98603425191,5882.98603425191,5882.98603425191,5882.98603425191,0.9719034271674323
CS2_35,14,1.0964337765466325,85,2521.281218259741,2521.281218259741,2521.281218259741,2521.281218259741,160,4772.409428664905,4772.409428664905,4772.409428664905,4772.409428664905,198,5912.989063622794,5912.989063622794,5912.989063622794,5912.989063622794,0.9717298547503017
CS2_35,15,1.0960045941027943,84,2491.251232044102,2491.251232044102,2491.251232044102,2491.251232044102,160,4772.4113819280465,4772.4113819280465,4772.4113819280465,4772.4113819280465,198,5912.991371604992,5912.991371604992,5912.991371604992,5912.991371604992,0.971349485773412
CS2_35,16,1.095440271496269,84,2491.251984765113,2491.251984765113,2491.251984765113,2491.251984765113,159,4742.397555021365,4742.397555021365,4742.397555021365,4742.397555021365,198,5912.9773296681815,5912.9773296681815,5912.9773296681815,5912.9773296681815,0.9708493469267246
CS2_35,17,1.0949712373287053,83,2461.2220745388477,2461.2220745388477,2461.2220745388477,2461.2220745388477,159,4742.383661038271,4742.383661038271,4742.383661038271,4742.383661038271,198,5912.979738446564,5912.979738446564,5912.979738446564,5912.979738446564,0.9704336587992071
CS2_35,18,1.0944633456725317,82,2431.238671628147,2431.238671628147,2431.238671628147,2431.238671628147,159,4742.403139860457,4742.403139860457,4742.403139860457,4742.403139860457,198,5912.996822565445,5912.996822565445,5912.996822565445,5912.996822565445,0.9699835326759159
CS2_35,19,1.0937233990850252,82,2431.2396059116872,2431.2396059116872,2431.2396059116872,2431.2396059116872,159,4742.38667580203,4742.38667580203,4742.38667580203,4742.38667580203,198,5912.982983429072,5912.982983429072,5912.982983429072,5912.982983429072,0.9693277446061017
CS2_35,20,1.0927428287855214,82,2431.223520637199,2431.223520637199,2431.223520637199,2431.223520637199,159,4742.3867216111685,4742.3867216111685,4742.3867216111685,4742.3867216111685,197,5882.967948722187,5882.967948722187,5882.967948722187,5882.967948722187,0.9684587003873889
CS2_35,21,1.0920279098473173,82,2431.2397439105844,2431.2397439105844,2431.2397439105844,2431.2397439105844,159,4742.418071800523,4742.418071800523,4742.418071800523,4742.418071800523,197,5882.984372435138,5882.984372435138,5882.984372435138,5882.984372435138,0.9678250934237587
CS2_35,22,1.0912405084062158,82,2431.2398595287523,2431.2398595287523,2431.2398595287523,2431.2398595287523,159,4742.403633074777,4742.403633074777,4742.403633074777,4742.403633074777,197,5882.985071131523,5882.985071131523,5882.985071131523,5882.985071131523,0.967127247822539
CS2_35,23,1.0905643665954408,81,2401.2094071762986,2401.2094071762986,2401.2094071762986,2401.2094071762986,159,4742.403803529625,4742.403803529625,4742.403803529625,4742.403803529625,197,5882.985620731284,5882.985620731284,5882.985620731284,5882.985620731284,0.9665280076334558
CS2_35,24,1.0899588406368856,81,2401.1786341905536,2401.1786341905536,2401.1786341905536,2401.1786341905536,159,4742.373479843634,4742.373479843634,4742.373479843634,4742.373479843634,197,5882.955533665081,5882.955533665081,5882.955533665081,5882.955533665081,0.9659913517365465
CS2_35,25,1.0893160835515552,81,2401.2261814129306,2401.2261814129306,2401.2261814129306,2401.2261814129306,159,4742.421742448874,4742.421742448874,4742.421742448874,4742.421742448874,197,5883.004180653312,5883.004180653312,5883.004180653312,5883.004180653312,0.9654216992299125
CS2_35,26,1.0884964314191485,81,2401.1947810334386,2401.1947810334386,2401.1947810334386,2401.1947810334386,158,4712.359250669368,4712.359250669368,4712.359250669368,4712.359250669368,197,5882.941471212078,5882.941471212078,5882.941471212078,5882.941471212078,0.9646952709999488
CS2_35,27,1.0877169210905144,81,2401.2266181514133,2401.2266181514133,2401.2266181514133,2401.2266181514133,158,4712.406284943223,4712.406284943223,4712.406284943223,4712.406284943223,196,5852.988791482989,5852.988791482989,5852.988791482989,5852.988791482989,0.9640044190081342
CS2_35,28,1.0769223629161004,81,2401.2261549169198,2401.2261549169198,2401.2261549169198,2401.2261549169198,158,4712.40643209999,4712.40643209999,4712.40643209999,4712.40643209999,196,5852.9889283090015,5852.9889283090015,5852.9889283090015,5852.9889283090015,0.9544375900109878
CS2_35,29,1.0693937679740344,84,2491.246317064448,2491.246317064448,2491.246317064448,2491.246317064448,157,4682.3563948409865,4682.3563948409865,4682.3563948409865,4682.3563948409865,194,5792.918833750242,5792.918833750242,5792.918833750242,5792.918833750242,0.9477652668611396
CS2_35,30,1.065709406940691,85,2521.2758859399473,2521.2758859399473,2521.2758859399473,2521.2758859399473,157,4682.353771628172,4682.353771628172,4682.353771628172,4682.353771628172,193,5762.900768675725,5762.900768675725,5762.900768675725,5762.900768675725,0.9444999500783469
CS2_35,31,1.0629901327650906,85,2521.259690039791,2521.259690039791,2521.259690039791,2521.259690039791,157,4682.35279357055,4682.35279357055,4682.35279357055,4682.35279357055,192,5732.868653965299,5732.868653965299,5732.868653965299,5732.868653965299,0.9420899550962468
CS2_35,32,1.0599717914517583,86,2551.290229529375,2551.290229529375,2551.290229529375,2551.290229529375,156,4652.353193942574,4652.353193942574,4652.353193942574,4652.353193942574,192,5732.8839274564525,5732.8839274564525,5732.8839274564525,5732.8839274564525,0.9394149076572404
CS2_35,33,1.0701985733937889,86,2551.274689854705,2551.274689854705,2551.274689854705,2551.274689854705,156,4652.337703300174,4652.337703300174,4652.337703300174,4652.337703300174,192,5732.869044734165,5732.869044734165,5732.869044734165,5732.869044734165,0.9484785369832106
